"projection","method","rank","mean","median","min","max","module_count"
"down_proj","AF_GI","8","0.24151908395758706","0.13217341956800416","0.07851319487280979","0.9908541624979037","28"
"down_proj","AF_GI","16","0.2777853393711845","0.1755563715482828","0.11173579245389133","0.9913969869802076","28"
"down_proj","AF_GI","32","0.3265865530734919","0.23548839975687214","0.1582838296669772","0.9920574574202695","28"
"down_proj","AF_GI","64","0.3926540514469094","0.31840648181765274","0.22541467781269434","0.9929260056385449","28"
"gate_proj","AD_GD","8","0.35139554730585665","0.30269847670636973","0.241197364019936","0.7419927939591142","28"
"gate_proj","AD_GD","16","0.4065261250407421","0.36125316052656786","0.2939016200343451","0.8023007207566507","28"
"gate_proj","AD_GD","32","0.4536755941516239","0.41370611268771174","0.3362041074680479","0.8236241796529769","28"
"gate_proj","AD_GD","64","0.5088694670187983","0.4759320511254147","0.3844518221688393","0.8431288640572627","28"
"gate_proj","AD_GF","8","0.3648419154651477","0.31939668323403747","0.24175394625305685","0.7588943897198354","28"
"gate_proj","AD_GF","16","0.426014858144202","0.37443120214655695","0.2982746348091313","0.8183601137679236","28"
"gate_proj","AD_GF","32","0.4765989995658387","0.4268750696116982","0.35152268341510756","0.8394510630023857","28"
"gate_proj","AD_GF","64","0.5341849350972331","0.4967280781482652","0.4063358280779654","0.8598638923025475","28"
"gate_proj","AD_GI","8","0.3485040881077656","0.29872769913380787","0.24035597701225517","0.7399274890144782","28"
"gate_proj","AD_GI","16","0.3961311821199233","0.35237047607689764","0.2807132528677028","0.7882885229033416","28"
"gate_proj","AD_GI","32","0.43470954620334934","0.3957333502514701","0.31762048780257013","0.7981008488056556","28"
"gate_proj","AD_GI","64","0.47948706839617083","0.4402204176378264","0.35495150881666326","0.8112788029043925","28"
"gate_proj","AF_GD","8","0.4567180411142512","0.41960600710914087","0.33531213938054316","0.7903775965849165","28"
"gate_proj","AF_GD","16","0.5064111098819252","0.4711987651940527","0.38558595246752025","0.8166230461964872","28"
"gate_proj","AF_GD","32","0.5620131907116191","0.5343833569224632","0.44582729722715053","0.8428015430200101","28"
"gate_proj","AF_GD","64","0.6257246931215498","0.603949097642763","0.5173134327860183","0.8703004767606355","28"
"gate_proj","AF_GF","8","0.46832195494987444","0.4228779719393899","0.34656896884597066","0.8106303830261462","28"
"gate_proj","AF_GF","16","0.5206790826813446","0.4823405984156941","0.39696839056010325","0.8344153346524327","28"
"gate_proj","AF_GF","32","0.5781199796365026","0.5476277401939089","0.4565557364450211","0.8593648203692791","28"
"gate_proj","AF_GF","64","0.642815106775635","0.6184261126434274","0.5305607518921571","0.8860229568558158","28"
"gate_proj","AF_GI","8","0.45310966613692444","0.4148669774385443","0.3319481061509438","0.8028352925744987","28"
"gate_proj","AF_GI","16","0.4988453362208814","0.46330771756898304","0.37603122798955707","0.820990759665995","28"
"gate_proj","AF_GI","32","0.5496097243651324","0.5171970464171671","0.4278593365655475","0.8418118791744585","28"
"gate_proj","AF_GI","64","0.6083171023883411","0.5819044758715366","0.49228791885818846","0.8633833626668652","28"
"k_proj","AD_GD","8","0.5964863121680608","0.6021719460307802","0.4069355631753701","0.7750135114322563","28"
"k_proj","AD_GD","16","0.7193914031005514","0.730729425255116","0.5224824374051972","0.8573094230633618","28"
"k_proj","AD_GD","32","0.8224402819452855","0.8257686050319981","0.6459747645454362","0.935692064593345","28"
"k_proj","AD_GD","64","0.9060822871786925","0.9048363903525909","0.781632680593192","0.9762593295679088","28"
"k_proj","AD_GF","8","0.7565251268565832","0.7531941881800523","0.6320926739251994","0.9695198679213397","28"
"k_proj","AD_GF","16","0.8382057127677685","0.83292189529898","0.751526012127828","0.982862299278028","28"
